Player,Team,efficiency,2nd_stat,cluster,Unnamed: 3,_merge
강상재,원주 DB,22.5,8.78,1,https://kbl.or.kr/files/kbl/players-photo/291001.png,both
게이지 프림,울산 현대모비스,24.76,9.4,2,https://kbl.or.kr/files/kbl/players-photo/291579.png,both
고메즈 델 리아노,서울 SK,6.24,2.29,5,https://kbl.or.kr/files/kbl/players-photo/291677.png,both
곽정훈,대구 한국가스공사,7.87,4.89,4,https://kbl.or.kr/files/kbl/players-photo/291350.png,both
글렌 로빈슨 3세,서울 삼성,17.64,3.06,2,https://kbl.or.kr/files/kbl/players-photo/291780.png,both
김경원,안양 정관장,8.23,3.98,3,https://kbl.or.kr/files/kbl/players-photo/291275.png,both
김국찬,울산 현대모비스,10.98,5.83,4,https://kbl.or.kr/files/kbl/players-photo/291087.png,both
김낙현,대구 한국가스공사,14.27,7.57,5,https://kbl.or.kr/files/kbl/players-photo/291068.png,both
김동량,대구 한국가스공사,3.78,0.62,3,https://kbl.or.kr/files/kbl/players-photo/290437.png,both
김동현,부산 KCC,10.16,6.54,4,https://kbl.or.kr/files/kbl/players-photo/291490.png,both
김민욱,고양 소노,9.92,2.41,1,https://kbl.or.kr/files/kbl/players-photo/290549.png,both
김보배,원주 DB,8.71,1.85,3,https://kbl.or.kr/files/kbl/players-photo/291752.png,both
김선형,서울 SK,23.76,8.4,0,https://kbl.or.kr/files/kbl/players-photo/290407.png,both
김시래,원주 DB,5.27,4.11,0,https://kbl.or.kr/files/kbl/players-photo/290505.png,both
김영현,안양 정관장,6.11,4.84,4,https://kbl.or.kr/files/kbl/players-photo/290741.png,both
김영훈,고양 소노,1.49,0.41,4,https://kbl.or.kr/files/kbl/players-photo/290777.png,both
김준일,대구 한국가스공사,15.37,6.1,3,https://kbl.or.kr/files/kbl/players-photo/290781.png,both
김준일,울산 현대모비스,15.37,6.1,3,https://kbl.or.kr/files/kbl/players-photo/290781.png,right_only
김진유,고양 소노,9.26,5.48,4,https://kbl.or.kr/files/kbl/players-photo/290997.png,both
김태훈,서울 SK,5.15,3.24,4,https://kbl.or.kr/files/kbl/players-photo/291759.png,both
김형빈,서울 SK,7.66,4.04,1,https://kbl.or.kr/files/kbl/players-photo/291303.png,both
김훈,원주 DB,5.32,1.72,1,https://kbl.or.kr/files/kbl/players-photo/291287.png,both
대릴 먼로,창원 LG,19.03,9.3,2,https://kbl.or.kr/files/kbl/players-photo/291144.png,both
도노반 스미스,부산 KCC,11.39,2.56,3,https://kbl.or.kr/files/kbl/players-photo/291779.png,both
두경민,창원 LG,12.19,2.21,0,https://kbl.or.kr/files/kbl/players-photo/290738.png,both
디온테 버튼,안양 정관장,24.55,8.54,2,https://kbl.or.kr/files/kbl/players-photo/291058.png,both
디제이 번즈 Jr,고양 소노,15.94,8.76,2,https://kbl.or.kr/files/kbl/players-photo/291696.png,both
레이션 해먼즈,수원 KT,29.03,9.11,2,https://kbl.or.kr/files/kbl/players-photo/291698.png,both
로버트 카터,원주 DB,11.63,5.47,2,,both
리온 윌리엄스,부산 KCC,14.98,5.1,3,,both
마이클 영,안양 정관장,10.24,2.1,2,,both
마커스 데릭슨,서울 삼성,13.75,7.03,2,,both
문성곤,수원 KT,10.51,7.38,4,https://kbl.or.kr/files/kbl/players-photo/290661.png,both
문정현,수원 KT,19.07,8.07,1,https://kbl.or.kr/files/kbl/players-photo/291667.png,both
미구엘 옥존,울산 현대모비스,8.45,6.12,0,https://kbl.or.kr/files/kbl/players-photo/291692.png,both
민기남,고양 소노,4.46,2.29,5,https://kbl.or.kr/files/kbl/players-photo/291659.png,both
박무빈,울산 현대모비스,13.67,7.41,0,https://kbl.or.kr/files/kbl/players-photo/291649.png,both
